,X2,name,Plate,well_type,wga_cp,wgs_run_id,raw_read_count,final_assembly_length,max_contig_length,gc_content,checkM_estimated_completeness,total_CDS_count,hypothetical_cds_fraction,average_cds_length,number_multi_copy,checkM_classification,SSU_classification_1,SSU_classification_2,SSU_classification_3,notes,eventnum,well2,X531.40..488.,X572.27..488.,X692.40..488.,Trigger.Pulse.Width,SSC,FSC,estimated_diameter,PCA_analysis_Action,PCA_analysis_Note,Location,Sample_collection_Date,FACS_date,gate,depth..m.,sample,slope,intercept,normalized_531_value,Predicted_respiration_rate_fmol_O2perhr,lower_resp_bound,upper_resp_bound,SAG,GTDB_classification,GTDBtk_classification
10,A11,AH-135-A11,AH-135,1 cell,1.746819048,AH-135,5922571,1142680,67056,44.85043932,51.52,1016.0,0.404527559,977.9507874,0,k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Cryomorphaceae;g__Owenweeksia;s__Owenweeksia_hongkongensis,no SSU regions found,,,,39721,A11,125.2501689,12.08749829,15.39710122,7680,7.093001932000001,9.664256699,0.4,,,EBB Bigelow dock,170412,170412,Respiring cells (RSG-positive),1meter,AH-135-A11,0.10985,0.18027,13.939,0.0595974693772256,0.00985081295556408,0.360564998258659,AH-135-A11,UBA10364,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Schleiferiaceae;g__UBA10364;s__UBA10364 sp003045825
11,A13,AH-135-A13,AH-135,1 cell,1.924090767,170717_NB502014_0032_AHMHYCAFXX,887477,206355,23841,37.42918757,12.07,218.0,0.28440367,822.2660549999999,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__,no SSU regions found,,,,43524,A13,16.70942194,2.003917707,1.022597178,4827,6.80877288,3.36494166,0.33,,,EBB Bigelow dock,170412,170412,Respiring cells (RSG-positive),1meter,AH-135-A13,0.10985,0.18027,2.0158,0.00588439420698653,0.0009628338559660539,0.0359626896880093,,Unclassified,Unclassified
12,A14,AH-135-A14,AH-135,1 cell,1.673261954,AH-135,5754909,1679721,178475,34.10036548,80.36,1561.0,0.326713645,943.8212684,0,k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Polaribacter,k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Polaribacter_2;s__?,,,,47334,A14,137.6169331,12.5638023,8.55080172,6205,5.5293716470000005,4.529036903,0.34,,,EBB Bigelow dock,170412,170412,Respiring cells (RSG-positive),1meter,AH-135-A14,0.10985,0.18027,15.2975,0.0775880752511689,0.0128055777322384,0.470100572348702,AH-135-A14,Polaribacter,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Polaribacter;s__
13,A15,AH-135-A15,AH-135,1 cell,1.991941183,170717_NB502014_0032_AHMHYCAFXX,497638,257283,20466,43.879308,14.89,244.0,0.24590163899999998,851.0368852,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseobacter;s__Roseobacter_RCA_cluster,no SSU regions found,,,,51514,A15,243.3495059,28.10551217,12.96196661,7441,20.01947281,6.485607819,0.37,,,EBB Bigelow dock,170412,170412,Respiring cells (RSG-positive),1meter,,0.10985,0.18027,26.9122,0.740123392623149,0.118044748319114,4.640465959799919,,Unclassified,Unclassified
14,A16,AH-135-A16,AH-135,1 cell,1.771910916,AH-135,4194076,892643,47278,53.18341151,15.69,895.0,0.332960894,830.7072626,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseobacter;s__Roseobacter_RCA_cluster,no SSU regions found,,,,54896,A16,92.24988221,9.56427061,10.62444255,7623,14.50437513,9.249654017000001,0.4,,,EBB Bigelow dock,170412,170412,Respiring cells (RSG-positive),1meter,AH-135-A16,0.10985,0.18027,10.3139,0.0294788259527991,0.00487887186071399,0.17811518817554,AH-135-A16,Planktomarina,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Planktomarina;s__Planktomarina temperata
15,A17,AH-135-A17,AH-135,1 cell,2.358759426,170717_NB502014_0032_AHMHYCAFXX,794888,31997,8138,37.83792231,0.0,28.0,0.25,894.8214286,0,NA;unresolved,no SSU regions found,,,,58293,A17,16.28287006,2.618362577,1.025763788,2252,3.205231299,1.867674845,0.31,,,EBB Bigelow dock,170412,170412,Respiring cells (RSG-positive),1meter,,0.10985,0.18027,1.9689400000000001,0.0058310919257251,0.0009539968548689901,0.035641242287875,,Unclassified,Unclassified
16,A18,AH-135-A18,AH-135,1 cell,1.618199506,AH-135,5882001,2105486,314702,35.38855162,91.54,1916.0,0.337160752,1007.486952,0,k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;unresolved,k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__NS5_marine_group;s__?,,,,62202,A18,147.0345625,19.20645732,16.47854815,6353,10.08326252,6.480141252999999,0.37,,,EBB Bigelow dock,170412,170412,Respiring cells (RSG-positive),1meter,AH-135-A18,0.10985,0.18027,16.332,0.0948501582489803,0.0156314297156596,0.575542524484746,AH-135-A18,MS024-2A,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__MS024-2A;s__MS024-2A sp000173095
17,A19,AH-135-A19,AH-135,1 cell,1.709638575,AH-135,4957930,1925369,386496,36.903211799999994,72.41,1837.0,0.21339139899999998,959.3592814,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;f__;g__;s__,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__?;s__?,,,,66122,A19,138.3149553,16.57843218,1.322509882,6817,6.86160607,6.834658144,0.37,,,EBB Bigelow dock,170412,170412,Respiring cells (RSG-positive),1meter,AH-135-A19,0.10985,0.18027,15.3742,0.0787523212105616,0.0129964421036048,0.47720199471601793,AH-135-A19,Amylibacter,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Amylibacter;s__Amylibacter sp000153745
18,A20,AH-135-A20,AH-135,1 cell,2.018358182,170717_NB502014_0032_AHMHYCAFXX,325109,165770,19110,51.4489956,2.59,165.0,0.381818182,762.9454545,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales_3;f__Alteromonadaceae;unresolved,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Oceanospirillaceae;g__Pseudohongiella;s__?,,,,70711,A20,28.80126884,2.75347014,1.0253314009999999,7694,10.24755168,7.320874945,0.38,0,,EBB Bigelow dock,170412,170412,Respiring cells (RSG-positive),1meter,,0.10985,0.18027,3.34409,0.007615899443290941,0.00125010444235672,0.0463976627592596,,Unclassified,Unclassified
19,A21,AH-135-A21,AH-135,1 cell,1.539504179,AH-135,4589517,1318356,197360,39.51861258,68.68,1314.0,0.219939117,944.8858447,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__SAR86_clade;g__?;s__?,,,,74529,A21,11.51055307,1.432207222,1.025907957,2232,2.901251976,1.7643389880000002,0.31,,,EBB Bigelow dock,170412,170412,Respiring cells (RSG-positive),1meter,AH-135-A21,0.10985,0.18027,1.4447,0.00526670333110429,0.000860457737966561,0.0322365210445036,AH-135-A21,D2472,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__SAR86;f__D2472;g__D2472;s__D2472 sp002469975
20,A22,AH-135-A22,AH-135,1 cell,1.48234718,AH-135,3753409,1880919,96258,53.43366727,61.28,1881.0,0.297713982,882.1132376,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseobacter;s__Roseobacter_RCA_cluster,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Planktomarina;s__?,,,,78425,A22,83.38377309999998,7.9147554389999994,2.430419004,7792,14.73862711,11.62598311,0.43,,,EBB Bigelow dock,170412,170412,Respiring cells (RSG-positive),1meter,AH-135-A22,0.10985,0.18027,9.33998,0.0243992248561281,0.00403694937846594,0.147468327632615,AH-135-A22,Planktomarina,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Planktomarina;s__Planktomarina temperata
21,A23,AH-135-A23,AH-135,1 cell,2.188923218,170717_NB502014_0032_AHMHYCAFXX,824255,38257,5229,55.69176883,0.0,36.0,0.194444444,844.5833332999998,0,NA;unresolved,no SSU regions found,,,,82306,A23,14.40888486,1.212833738,1.023172197,7385,7.5021044329999995,9.40168219,0.4,0,,EBB Bigelow dock,170412,170412,Respiring cells (RSG-positive),1meter,,0.10985,0.18027,1.76309,0.005602602645145721,0.000916121020840907,0.034263111188718,,Unclassified,Unclassified
22,B02,AH-135-B02,AH-135,1 cell,1.808268183,AH-135,1856284,630706,74175,38.47830844,20.22,576.0,0.397569444,928.3541667000002,0,k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;unresolved,no SSU regions found,,,,163066,B02,127.13,15.95441407,7.57520746,6868,10.82641981,4.23240203,0.34,,,EBB Bigelow dock,170412,170412,Respiring cells (RSG-positive),1meter,AH-135-B02,0.10985,0.18027,14.1455,0.0620358449746309,0.0102519077696157,0.37538828364437,AH-135-B02,UBA7428,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__UBA7428;s__
23,B03,AH-135-B03,AH-135,1 cell,1.359260806,AH-135,3832623,2566741,174985,47.66176252,86.96,2332.0,0.314751286,959.7152659,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;unresolved,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__?;g__?;s__?,,,,159254,B03,102.92294559999999,11.52998157,1.024035332,7600,1.223791745,15.98583594,0.48,,,EBB Bigelow dock,170412,170412,Respiring cells (RSG-positive),1meter,AH-135-B03,0.10985,0.18027,11.4864,0.0370161543606677,0.00612632364187524,0.223657084370647,AH-135-B03,Pseudohongiellaceae,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudohongiellaceae;g__;s__
24,B04,AH-135-B04,AH-135,1 cell,1.436378279,AH-135,1463888,1806044,147528,53.61491747,65.74,1789.0,0.291783119,887.8418111,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseobacter;s__Roseobacter_RCA_cluster,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Planktomarina;s__?,,,,156082,B04,49.49018109,5.222705145,3.2147049080000003,7308,13.11404943,10.00562313,0.41,,,EBB Bigelow dock,170412,170412,Respiring cells (RSG-positive),1meter,AH-135-B04,0.10985,0.18027,5.61677,0.0118408921733882,0.0019518706087313,0.0718319784286007,AH-135-B04,Planktomarina,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Planktomarina;s__Planktomarina temperata
25,B05,AH-135-B05,AH-135,1 cell,1.863803942,170717_NB502014_0032_AHMHYCAFXX,722167,234273,34114,38.53367652,16.38,207.0,0.449275362,916.7681159,0,k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae,k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__NS11-12_marine_group;g__?;s__?,,,,152558,B05,33.82009356,2.523350266,3.883590217,6472,12.16247534,8.744025707999999,0.39,,,EBB Bigelow dock,170412,170412,Respiring cells (RSG-positive),1meter,,0.10985,0.18027,3.89541,0.00847648868776657,0.00139298776925785,0.051580395793507004,,Unclassified,Unclassified
26,B06,AH-135-B06,AH-135,1 cell,1.651298891,AH-135,1720993,1663873,100855,34.15320761,68.99,1497.0,0.34802939200000005,988.7134269,0,k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Polaribacter,k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Polaribacter_2;s__?,,,,148288,B06,126.70192209999999,9.827241768,7.157087522,6554,3.35502531,5.95360851,0.36,,,EBB Bigelow dock,170412,170412,Respiring cells (RSG-positive),1meter,AH-135-B06,0.10985,0.18027,14.0985,0.0614722379223975,0.0101592163745609,0.371961369446781,AH-135-B06,Polaribacter,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Polaribacter;s__
27,B07,AH-135-B07,AH-135,1 cell,1.737081996,AH-135,6368737,1446608,86147,35.73248593,68.43,1312.0,0.33536585399999996,961.2134146,0,k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae,k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__NS5_marine_group;s__?,,,,144132,B07,97.72152469,9.318807737,1.840058129,4958,5.233726636,3.352197438,0.33,,,EBB Bigelow dock,170412,170412,Respiring cells (RSG-positive),1meter,AH-135-B07,0.10985,0.18027,10.915,0.0331286008118667,0.0054831961667981,0.200157747117937,AH-135-B07,MS024-2A,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__MS024-2A;s__MS024-2A sp000173095
28,B08,AH-135-B08,AH-135,1 cell,1.790788011,AH-135,4673133,1937564,104631,43.96241879,69.75,1833.0,0.247681397,929.3780687000001,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseobacter;s__Roseobacter_RCA_cluster,no SSU regions found,,,,140478,B08,253.0808459,29.08600551,18.52512856,7384,12.78287135,8.367725442000001,0.39,,,EBB Bigelow dock,170412,170412,Respiring cells (RSG-positive),1meter,,0.10985,0.18027,27.9812,0.9108706754791128,0.14454576343619502,5.7399495337960005,,Unclassified,Unclassified
29,B09,AH-135-B09,AH-135,1 cell,2.035690987,170717_NB502014_0032_AHMHYCAFXX,636874,44051,36360,29.59070169,4.17,43.0,0.23255814,930.3255813999999,0,NA;unresolved,no SSU regions found,,,,136841,B09,110.22937959999999,13.51254971,12.42508351,5795,1.5197169080000001,3.246486298,0.32,,,EBB Bigelow dock,170412,170412,Respiring cells (RSG-positive),1meter,,0.10985,0.18027,12.289000000000001,0.0432590943851888,0.00715789330480786,0.26143855005071304,,Unclassified,Unclassified
30,B10,AH-135-B10,AH-135,1 cell,1.718246632,AH-135,1551027,1799762,83692,38.76479223,53.27,1533.0,0.421395956,1022.612524,0,k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae_2;g__Flexibacter,no SSUs were classified,,,,133576,B10,150.9499619,14.78218964,1.023028412,7586,15.58213466,9.475966902,0.4,,,EBB Bigelow dock,170412,170412,Respiring cells (RSG-positive),1meter,AH-135-B10,0.10985,0.18027,16.7621,0.10311217069758,0.0169810038391497,0.626118446628849,AH-135-B10,UBA4465,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__UBA4465;s__
31,B13,AH-135-B13,AH-135,1 cell,1.986850221,170717_NB502014_0032_AHMHYCAFXX,655531,1251343,57947,43.53234884,50.0,1199.0,0.20767306100000002,910.5696413999999,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Oceanospirillaceae;g__Marinobacterium,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Oceanospirillaceae;g__Balneatrix;s__?,,,,125665,B13,297.7672658,33.67307013,15.7074598,7355,11.72607944,7.369391696,0.38,,,EBB Bigelow dock,170412,170412,Respiring cells (RSG-positive),1meter,AH-135-B13,0.10985,0.18027,32.89,2.36283483364665,0.364914969429198,15.2994229308459,AH-135-B13,ASP10-02a,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Nitrincolaceae;g__ASP10-02a;s__ASP10-02a sp002470565
32,B14,AH-135-B14,AH-135,1 cell,1.548568666,AH-135,2791952,2476861,310681,52.13445567,80.47,2202.0,0.30154405100000004,994.8024523,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__,no SSUs were classified,,,,122043,B14,6.933338163999999,1.021448109,1.026484838,7698,17.17609037,12.58147171,0.44,,,EBB Bigelow dock,170412,170412,Respiring cells (RSG-positive),1meter,AH-135-B14,0.10985,0.18027,0.941897,0.00477678486358661,0.0007793145353414661,0.029279158283622,AH-135-B14,OM182,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudohongiellaceae;g__OM182;s__OM182 sp001438145
33,B15,AH-135-B15,AH-135,1 cell,1.678138599,AH-135,5485674,1830219,245616,34.23426377,85.99,1647.0,0.319368549,982.0455373,0,k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Polaribacter,k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Polaribacter_2;s__?,,,,117430,B15,190.3715521,19.43180679,9.217212696,7245,6.017539439,7.732246026,0.38,,,EBB Bigelow dock,170412,170412,Respiring cells (RSG-positive),1meter,AH-135-B15,0.10985,0.18027,21.0926,0.23906525866369396,0.0389750694682968,1.46637834594311,AH-135-B15,Polaribacter,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Polaribacter;s__
34,B16,AH-135-B16,AH-135,1 cell,1.685113115,AH-135,3880645,1751042,95480,55.0710377,43.1,1871.0,0.36344201,826.8011757999999,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Octadecabacter,no SSU regions found,,,,113087,B16,452.77640729999996,50.54454791,42.81459073,8342,7.735506752,18.65576181,0.52,,,EBB Bigelow dock,170412,170412,Respiring cells (RSG-positive),1meter,AH-135-B16,0.10985,0.18027,49.9178,64.4834971076384,8.65195927762297,480.59881765569395,AH-135-B16,Octadecabacter,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Octadecabacter;s__
