,genus,date,16S_copies_per_cell,median_estimated_diameter,Weighted_avg_O2_consumed_per_cell
364,SCGC-AAA160-P02,20190402,395.6034709039208,0.47,0.12473560962237733
365,SCGC-AAA160-P02,20190709,183.61939248092256,0.47,0.004750609796719588
401,TMED189,20181030,73.30634574298806,0.245,0.003557291840087328
402,TMED189,20190402,49.13629474778474,0.245,0.0063452477500000005
403,TMED189,20190709,48.0040588032197,0.245,0.0039296428312334
416,Thioglobus,20181030,117.78922173123476,0.39,0.006094646262626835
417,Thioglobus,20190402,432.8134893765954,0.39,0.005267348407043342
418,Thioglobus,20190709,238.53421484042045,0.39,0.006341153707163329
432,UBA10364,20190402,656.176407266346,0.5,0.0058296520070573905
477,UBA4465,20190402,637.8784976374444,0.605,0.07815905699999999
489,UBA4582,20190402,1893.421867717656,0.9,0.007343906304071022
515,UBA7428,20181030,167.28036552102355,0.47,0.010263285
516,UBA7428,20190402,253.63643345402386,0.47,0.0739451533030559
517,UBA7428,20190709,135.8760920798552,0.47,0.006098146486314835
541,UBA9320,20190709,87.20055824000733,0.52,0.004658183317247131
547,UBA9926,20190709,1221.9203678240144,0.78,0.005701919733163093
